address,originCount,TotalARBVolume
0x6f6acec4cf3f88a91b2d534f3fc11250784a2b29,82,71750.00000000012
0x7507050c39a5b675f580725181ff3856c54e66ca,82,51749.99999999999
0x42b7a3229aa3b18413c352815225ddb9537d6b42,82,128899.99999999985
0x11f4a2fe76cac1b92c809130f3016ab557619fb3,81,71275.77059999995
0x7f7e6c75cdb77fe4356dc8b10f81c47cffb5e32a,81,70875.0000000001
0xc9caa504f70b97434499f369ea0cd75713e168d5,81,141250.0000000002
0x6f26ded0471955949b127b692eb0a003672b2366,80,158874.99999999997
0x9b489bf59338498d30f5cecad57c69b1cb55ea00,80,97375.00000000003
0xa73d2d0956b4929fb70cecc546b6df6b1855cf2f,80,61749.999999999935
0xec1258028b97b8b96a6de83e5f67e2f2bb37a257,80,88624.99999999999
0x1184c8564a239365dbeaedabe3adfdcc829f26c4,80,121487.29999999983
0xdaa22fe7369b346d6507c14719b8d9e9841f6667,79,69125.0000000001
0xec01a7d73b68fc049069f9a8b6409b4baae72ef5,78,68250.0000000001
0x819c251c1ea5d6dc911f7d8bf13cf4a02d00d767,77,153250
0xac7fc188607ff8c2c7a4f6759a65dce26ed4af9d,77,48125.000000000015
0x7d512a30afc132bea270c573915782e5f03a293f,76,66500.00000000009
0x9108a0018c2e26769b609c75bb3b363d0fdf52ce,76,66500.00000000009
0x3a9b9b2ee261a15e4d53c5e4a8e08f3121e67194,76,66500.00000000009
0x3d9c4678940c39019664025cc778d5aa7fc7f431,75,156874.99999999997
0xd491435f1388b7d3646bb7154b95eeb9aea3fd4a,75,120874.99999999999
0x65bd9684273013237a502ace0d240ea33dd8cc4b,74,56000.000000000015
0xc64f9c027155d7ba3d68d37fd23fa158e069dda4,74,67749.00000000007
0xd04ad1d912332c54c72510cb856b4e80fc5993d6,74,49924.00000000005
0x87574a60b2684f2acb33d3be82f704b4b0f79f8d,73,82125
0x8ea585bc8d3154e051089e2dfc2d6a6b1da50403,73,88250
0xae107dabaa9e7f47d7171768fdf3de6a9305912c,73,96750.00000000003
0xc9ce20fb0b49305a6ec053d2edb11ec014d7ffa5,73,108925.70000000004
0xdabc8920d2f983e046230af126794ec29f5cedee,73,108625.00000000016
0x1f7b80c8918fc61036ab3d59bc9a569fd216ef4f,73,175258.9612389327
0x40c8c7932b2ac3a293fb965bb11105640f066888,73,45625.00000000002
0x67f60b22af036461aa5d766fc6974a9d8448e11a,73,138775.00000000003
0x4e2f96eea4b9abeafa374138afae3826b69bdb3c,72,102624.99383403608
0x51cf2d9f67078d76c21258c5aa2cb39a2ca24999,72,133035.24060809778
0x599b3102da910ff54f2b83f17c5ad4b58d8417c3,72,81000
0xc1297668b436d9c1369dc123c4ac4a34a0dbd79f,72,63000.00000000008
0x7afdb6acc4540180e5249b1e81b33e82c29ec20a,71,104675.00000000003
0x91d10aeb29dbb1b45998b3d8e5ea7ada1f9ba9f9,71,45875.00000000004
0xba0daa19d2752fc5f6fe06182847204a27832725,71,281436.89230599965
0x39566406efdd567b3d13187ede7cb59574e3d5d9,71,89875.00000000009
0x4b5534b493dfc5600f911badbfda89c29b8180ee,70,70000.0000000001
0x6752d96e502c024a6b23ba0c77a98fbf35c6ef5b,70,125998.99999999997
0xbfefa3ebd4c6cc59edf91b59ba63602af4f472e9,70,202625
0xcdeccb40ec9ce324add76a64583aba1a44d00a02,70,55499.99999999996
0xff51487805e545ff8a9306fc2c654da494319969,70,53624.99999999999
0xd2241c08fc7bc2712bcd0f5da823abb1c677a8b2,69,65918.59478658966
0xd5a02c5691d2aa0731de55ef440b4068bbfec615,69,225556.6603681317
0x209ddb0c618ced636da8011b32f726568e3046d1,69,103374.99999999996
0x9d7e143fd7163bf97ad807ab730e8e724ee6505b,69,74875.00000000006
0xb10a0ca7183cece24bd32a03587c72a3ec69e016,69,60375.000000000065
0x884886661b07ceac08d5d51c32b5797b00b76329,68,42500.00000000003
0x3f3273b93b35367a6e715bc7818dd0443d1c2966,68,118250.00000000001
0x40951f3dffe3029c417e6cb1550bde073a6113b2,68,46500.00000000002
0xfe01282cd8ab6fc2762759e2795ab5a977c1256a,67,54124.999999999985
0xbf20e1bd7b1d7e4c1470f3aef39e5b876acd6aed,67,122000.00000000007
0x8be952062b6095834516551868acd38323df53ac,66,42000.00000000004
0xdedbec57f957a8d1c034966b29c2bee41dc2ac99,66,141875.00000000003
0xf441cf0845a829065f8e8b5b272d1bdfa37ea53e,66,107760.13847976382
0x28fd19469c8cb8b7d03fe668c314b3e1f2e9bc69,65,126499.99999999983
0x649adad5c1ac399e85f917acd61c8c13316a2975,65,63500.00000000004
0x6997c9f5fc0b7e5917f0eb46b85d3f6552d11bc3,65,86750.00000000012
0xbcb4f7bc993e72a61273febc0158e83348aaf1ab,65,56875.00000000005
0x7ba664e5afccb54d44bde484d7f527c43c79c03b,64,112409.49945719614
0xc1f4d4d59b0f0189f648f1cf3f5777a8017752bb,64,55125.00000000001
0x2a6b0c118064d7a28ada35e991fc7ad87556c934,64,42750.00000000004
0xf7bf3a7cf77ac38baa1067c8f7c6373c85735484,63,46249.99999999999
